,GDP,CPI,PPI,Interest,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Diluted EPS,MA30,MA7,Walmart,S&P500
2016-04-01,,,,,,,,,,,,,,,,,,,,,,,19.367782592773438,2072.780029296875
2016-04-02,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,,19.367782592773438,2072.780029296875
2016-04-03,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,,19.367782592773438,2072.780029296875
2016-04-04,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,,19.37900161743164,2066.1298828125
2016-04-05,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,,19.2499942779541,2045.1700439453125
2016-04-06,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,,19.362171173095703,2066.659912109375
2016-04-07,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,,19.132205963134766,2041.9100341796875
2016-04-08,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.318102972848074,19.08733558654785,2047.5999755859375
2016-04-09,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.278039114815847,19.08733558654785,2047.5999755859375
2016-04-10,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.23797525678362,19.08733558654785,2047.5999755859375
2016-04-11,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.197911398751394,18.90224266052246,2041.989990234375
2016-04-12,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.1298029763358,19.29486846923828,2061.719970703125
2016-04-13,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.136213575090682,19.393024444580078,2082.419921875
2016-04-14,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.140621185302734,19.29486846923828,2082.780029296875
2016-04-15,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.163858686174667,19.367782592773438,2080.72998046875
2016-04-16,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.203922544206893,19.367782592773438,2080.72998046875
2016-04-17,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.24398640223912,19.367782592773438,2080.72998046875
2016-04-18,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.284050260271346,19.592145919799805,2094.340087890625
2016-04-19,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.382607868739537,19.56690216064453,2100.800048828125
2016-04-20,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.421469824654714,19.40985107421875,2102.39990234375
2016-04-21,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.42387362888881,19.202316284179688,2091.47998046875
2016-04-22,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.410651888166154,19.27243423461914,2091.580078125
2016-04-23,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.397030694144114,19.27243423461914,2091.580078125
2016-04-24,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.38340950012207,19.27243423461914,2091.580078125
2016-04-25,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.369788306100027,19.48276710510254,2087.7900390625
2016-04-26,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.354162761143275,19.435096740722656,2091.699951171875
2016-04-27,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.33533341544015,19.4687442779541,2095.14990234375
2016-04-28,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.343746730259486,19.325716018676758,2075.81005859375
2016-04-29,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.36137526375907,18.753602981567383,2065.300048828125
2016-04-30,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.3,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,,,19.287256513323104,18.753602981567383,2065.300048828125
2016-05-01,0.040717393755891784,0.011726257503534843,-0.04033525405971716,0.3,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.276170921325683,19.213137762887136,18.753602981567383,2065.300048828125
2016-05-02,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.3,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.255698267618815,19.139019012451172,18.955530166625977,2081.429931640625
2016-05-03,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.241956520080567,19.06369944981166,18.79006004333496,2063.3701171875
2016-05-04,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.22269910176595,18.97155135018485,18.843351364135742,2051.1201171875
2016-05-05,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.204844093322755,18.882209505353654,18.848957061767578,2050.6298828125
2016-05-06,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.191476186116535,18.81410108293806,19.140625,2057.139892578125
2016-05-07,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.184091313680014,18.869389942714147,19.140625,2057.139892578125
2016-05-08,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.184371948242188,18.924678802490234,19.140625,2057.139892578125
2016-05-09,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.186148262023927,18.979967662266322,19.336929321289062,2058.68994140625
2016-05-10,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.194468053181968,19.03445325578962,19.29206657409668,2084.389892578125
2016-05-11,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.201292419433592,19.106168474469865,18.760963439941406,2064.4599609375
2016-05-12,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.19658311208089,19.094398771013534,18.885257720947266,2064.110107421875
2016-05-13,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.18292942047119,19.099584579467773,18.34568214416504,2046.6099853515625
2016-05-14,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.148018010457356,18.986021314348495,18.34568214416504,2046.6099853515625
